nome;indice;latitude;longitude;raio
Polygon 760;760;-18,184352;-47,944429;50
Polygon 266;1268;-21,783179;-52,142427;50
Polygon 265;1267;-22,137920;-51,415650;50
Polygon 265;1267;-22,137470;-51,416040;50
Polygon 760;760;-18,183902;-47,944039;50
Polygon 760;760;-18,183451;-47,943649;50
Polygon 760;760;-18,183001;-47,943259;50
Polygon 760;760;-18,181650;-47,941309;50
Polygon 735;735;-19,119423;-48,362338;50
Polygon 735;735;-19,123348;-48,359571;50
Polygon 266;1268;-21,783630;-52,142037;50
Polygon 739;739;-17,858111;-50,305126;50
Polygon 739;739;-17,857688;-50,312240;50
Polygon 760;760;-18,138609;-47,963933;50
Polygon 760;760;-18,138609;-47,963152;50
Polygon 760;760;-18,149529;-47,954836;50
Polygon 066;1807;-20,376164;-54,543431;50
Polygon 066;1807;-20,377785;-54,540469;50
Polygon 066;1807;-20,378235;-54,540079;50
Polygon 066;1807;-20,396915;-54,561236;50
Polygon 066;1807;-20,403077;-54,568401;50
Polygon 066;1807;-20,403077;-54,567621;50
Polygon 066;1807;-20,439048;-54,556472;50
Polygon 331;1652;-22,961890;-45,470986;50
Polygon 331;1652;-22,962791;-45,470206;50
Polygon 331;1652;-22,962341;-45,470596;50
Polygon 331;1652;-22,968562;-45,471416;50
Polygon 331;1652;-22,968111;-45,471026;50
Polygon 331;1652;-22,967210;-45,470246;50
Polygon 739;739;-17,848138;-50,300531;50
Polygon 739;739;-17,848138;-50,299751;50
Polygon 329;1650;-23,560746;-46,873713;50
Polygon 732;732;-17,993556;-49,350616;50
Polygon 732;732;-17,993556;-49,349836;50
Polygon 732;732;-17,993106;-49,350226;50
Polygon 732;732;-17,993106;-49,349446;50
Polygon 066;1807;-20,446910;-54,565792;50
Polygon 066;1807;-20,464930;-54,567571;50
Polygon 066;1807;-20,464930;-54,566791;50
Polygon 066;1807;-20,470024;-54,578997;50
Polygon 066;1807;-20,470668;-54,582611;50
Polygon 329;1650;-23,560746;-46,872933;50
Polygon 329;1650;-23,558241;-46,883227;50
Polygon 329;1650;-23,559772;-46,886481;50
Polygon 330;1651;-23,544206;-47,081203;50
Polygon 330;1651;-23,542703;-47,077084;50
Polygon 066;1807;-20,376164;-54,544211;50
Polygon 066;1807;-20,480081;-54,601213;50
Polygon 066;1807;-20,480771;-54,602017;50
Polygon 066;1807;-20,447964;-54,657155;50
Polygon 066;1807;-20,445878;-54,661625;50
Polygon 066;1807;-20,446611;-54,665097;50
Polygon 066;1807;-20,431988;-54,677273;50
Polygon 066;1807;-20,431538;-54,676883;50
Polygon 066;1807;-20,429660;-54,672853;50
Polygon 066;1807;-20,421044;-54,654049;50
Polygon 066;1807;-20,420143;-54,654049;50
Polygon 066;1807;-20,399579;-54,630313;50
Polygon 728;728;-13,936223;-49,287144;50
Polygon 066;1807;-20,404742;-54,626858;50
Polygon 066;1807;-20,404742;-54,626078;50
Polygon 270;1272;-21,699045;-49,732373;50
Polygon 270;1272;-21,702927;-49,730321;50
Polygon 066;1807;-20,407362;-54,593443;50
